date,close
2019-08-21,239.63
2019-08-22,239.62
2019-08-23,237.95
2019-08-27,233.71
2019-08-28,233.7
2019-08-29,237.87
2019-08-30,240.45
2019-09-02,241.06
2019-09-03,240.25
2019-09-04,238.73
2019-09-05,239.2
2019-09-06,240.84
2019-09-09,239.53
2019-09-10,240.35
2019-09-11,240.04
2019-09-12,242.43
2019-09-13,241.55
2019-09-16,239.53
2019-09-17,240.66
2019-09-18,240.14
2019-09-19,240.46
2019-09-20,239.51
2019-09-23,239.67
2019-09-24,240.22
2019-09-25,237.99
2019-09-26,240.88
2019-09-27,241.88
2019-09-30,239.89
2019-10-01,241.05
2019-10-02,237.47
2019-10-03,234.05
2019-10-04,234.24
2019-10-07,238.5
2019-10-08,238.31
2019-10-09,237.75
2019-10-10,237.59
2019-10-11,235.28
2019-10-14,234.95
2019-10-15,234.48
2019-10-16,234.02
2019-10-17,232.25
2019-10-18,231.82
2019-10-21,229.39
2019-10-22,231.31
2019-10-23,232.23
2019-10-24,232.36
2019-10-25,233.83
2019-10-28,234.82
2019-10-29,235.76
2019-10-30,234.78
2019-10-31,233.74
2019-11-01,233.67
2019-11-04,237.85
2019-11-05,237.83
2019-11-06,237.96
2019-11-07,240.11
2019-11-08,240.43
2019-11-11,239.66
2019-11-12,239.98
2019-11-13,239.51
2019-11-14,240.51
2019-11-15,240.05
2019-11-18,240.56
2019-11-19,240.88
2019-11-20,241.51
2019-11-21,239.63
2019-11-22,240.66
2019-11-25,241.29
2019-11-26,243.07
2019-11-27,243.29
2019-11-28,243.87
2019-11-29,244.13
2019-12-02,242.98
2019-12-03,239.43
2019-12-04,237.77
2019-12-05,237.63
2019-12-06,237.31
2019-12-09,238.7
2019-12-10,237.14
2019-12-11,238.11
2019-12-12,238.21
2019-12-13,237.47
2019-12-16,237.73
2019-12-17,241.57
2019-12-18,243.61
2019-12-19,243.7
2019-12-20,246.16
2019-12-23,248.09
2019-12-24,248.96
2019-12-27,247.75
2019-12-30,246.91
2019-12-31,243.94
2020-01-02,245.98
2020-01-03,246.2
2020-01-06,244.53
2020-01-07,246.99
2020-01-08,247.07
2020-01-09,250.9
2020-01-10,250.67
2020-01-13,252.0
2020-01-14,253.12
2020-01-15,252.49
2020-01-16,252.98
2020-01-17,254.63
2020-01-20,256.34
2020-01-21,254.33
2020-01-22,254.78
2020-01-23,253.32
2020-01-24,254.33
2020-01-27,248.44
2020-01-28,250.66
2020-01-29,252.85
2020-01-30,248.84
2020-01-31,249.89
2020-02-03,248.45
2020-02-04,252.62
2020-02-05,254.4
2020-02-06,258.62
2020-02-07,258.21
2020-02-10,257.88
2020-02-11,259.75
2020-02-12,260.06
2020-02-13,258.89
2020-02-14,259.45
2020-02-17,260.21
2020-02-18,258.45
2020-02-19,260.06
2020-02-20,263.62
2020-02-21,260.15
2020-02-24,252.97
2020-02-25,249.4
2020-02-26,242.5
2020-02-27,240.18
2020-02-28,229.13
2020-03-02,228.55
2020-03-03,243.26
2020-03-04,240.18
2020-03-05,238.34
2020-03-06,227.4
2020-03-09,212.58
2020-03-10,219.46
2020-03-11,218.07
2020-03-12,205.18
2020-03-13,208.93
2020-03-16,198.69
2020-03-17,197.75
2020-03-18,200.14
2020-03-19,203.58
2020-03-20,210.44
2020-03-23,194.07
2020-03-24,200.34
2020-03-25,204.28
2020-03-26,203.7
2020-03-27,209.6
2020-03-30,205.54
2020-03-31,213.35
2020-04-01,203.05
2020-04-02,202.82
2020-04-03,204.85
2020-04-06,210.89
2020-04-07,225.25
2020-04-08,217.45
2020-04-09,221.24
2020-04-14,223.33
2020-04-15,224.61
2020-04-16,225.13
2020-04-17,233.0
2020-04-20,228.07
2020-04-21,226.88
2020-04-22,225.03
2020-04-23,227.75
2020-04-24,229.59
2020-04-27,230.91
2020-04-28,234.11
2020-04-29,234.26
2020-04-30,236.17
2020-05-01,228.64
2020-05-04,227.42
2020-05-05,231.95
2020-05-06,235.07
2020-05-07,234.69
2020-05-11,237.7
2020-05-12,238.64
2020-05-13,236.23
2020-05-14,232.7
2020-05-15,233.86
2020-05-18,241.69
2020-05-19,241.65
2020-05-20,242.39
2020-05-21,243.12
